Question/Issue,"Answer ","Dept ",Files & media,Catagory,Last added,Created time 1
"ابي ورقة استمرارية / كشف درجات / لمن يهمه الأمر ","تقدر تطلب ورقة لمن يهمه الأمر أو كشف درجات عن طريقة مراجعة قسم التسجيل في مبنى الكلية - الدور الأرضي (مكتب 106) 
وتكون جاهزة للاستلام خلال 3 أيام عمل، وإذا تحتاج تكون مصدّقة من مجلس الجامعات الخاصة تاخذ 10 أيام عمل ",Registration,,"Registration ","January 15, 2026 10:03 AM (UTC)","December 18, 2025 3:22 PM"
"اقدر اقدم على الاعانة اذا ادرس على حسابي الخاص  ",اي تقدر، التقديم يكون للكويتيين أو أبناء الكويتيات شرط أن يكون الطالب مو موظف حكومي وغير مسجل بدعم العمالة وما يتقاضى معاش من وزارة الشؤون الاجتماعية,Registration,,"Registration ","January 15, 2026 10:03 AM (UTC)","December 18, 2025 3:24 PM"
"    بتخرج هالكورس، شنو مطلوب مني    ","يرجى الاطلاع على الايميلات المرسلة من قبل قسم التسجيل , حيث سوف يتم ارسال ايميل لجميع الطلبة المتوقع تخرجهم بالطلبات و طريقة التسجيل .",Registration,,"Registration ","April 15, 2026 12:12 PM (UTC)","December 18, 2025 3:26 PM"
"تعادلون مواد من جامعة ثانية / تعادلون مواد من التطبيقي ","اي نعادل ولكن في شروط محددة، راجع قسم التسجيل في مبنى الكلية - الدور الأرضي (مكتب 106) للتفاصيل ",Registration,,"Registration ","January 15, 2026 10:03 AM (UTC)","December 18, 2025 3:34 PM"
"شنو قسم الحياة الطلابية ","قسم الحياة الطلابية يهتم بتنظيم الأنشطة ودعم النوادي الطلابية والإشراف على الفعاليات وإدارة الفرق الرياضية داخل
الكلية",Student Life,,"Student Life ","January 15, 2026 10:03 AM (UTC)","December 18, 2025 3:34 PM"
"وين مكان قسم الحياة الطلابية ","قسم الحياة الطلابية موجود داخل الكلية في الدور الأرضي - مكتب رقم 172 ",Student Life,,"Student Life ","January 15, 2026 10:03 AM (UTC)","December 18, 2025 3:34 PM"
"شلون أقدر أتواصل مع قسم الحياة الطلابية ","تقدر تتواصل معنا عن طريق الإيميل mailto:studentlife@ktech.edu.kw ",Student Life,,"Student Life ","January 15, 2026 10:03 AM (UTC)","December 18, 2025 3:39 PM"
"شنو النوادي الطلابية الي موجودة بالكلية ","النوادي الطلابية هي مجموعات يديرها الطلبة تحت إشراف الكلية، وتهدف لتطوير المهارات وتنمية المواهب والمشاركة
بأنشطة خارج القاعات الدراسية ومنها: 
• Acting Club
• Esports Club
• Photography Club
• Music Club
• Art and Crafts Club
• Community Club
• Programming Club
• Robotics Club
• Cybersecurity Club
• Debate Club
• Book Club – Arabic
• Book Club – English ",Student Life,,"Student Life ","January 15, 2026 10:03 AM (UTC)","December 18, 2025 3:39 PM"
"شلون أقدر انضم / اشارك في نادي طلابي ","تقدر تسجل بالنوادي الطلابية عن طريق إعلانات فتح التسجيل أو انك تتواصل مع قسم الحياة الطلابية ",Student Life,,"Student Life ","January 15, 2026 10:03 AM (UTC)","December 18, 2025 3:39 PM"
أقدر أفتح نادي طلابي جديد,"اكيد تقدر، كل الي عليك تسويه انك تقدم طلب نادي طلابي جديد لقسم الحياة الطلابية ويتم النظر فيه حسب الشروط المعتمدة ",Student Life,,"Student Life ","January 15, 2026 10:03 AM (UTC)","December 18, 2025 3:41 PM"
"شنو الفعاليات الي موجودة بالجامعة ","ينظم قسم الحياة الطلابية كثير من الأنشطة والفعاليات للطلبة مثل اليوم المفتوح، الحملات التوعوية، المعارض، والأنشطة الترفيهية ",Student Life,,"Student Life ","January 15, 2026 10:03 AM (UTC)","December 18, 2025 3:41 PM"
"شلون أعرف مواعيد الفعاليات بالكلية ","الإعلان عن الفعاليات والأنشطة الطلابية يكون عن طريق مواقع التواصل الإجتماعي أو الإيميل الجامعي أو من خلال قسم الحياة الطلابية ",Student Life,,"Student Life ","January 15, 2026 10:03 AM (UTC)","December 18, 2025 3:41 PM"
"أقدر أشارك بتنظيم فعالية ","اكيد تقدر تشارك بالتعاون مع قسم الحياة الطلابية، راجعونا في مبنى الكلية - الدور الأرضي مكتب رقم 172  ",Student Life,,"Student Life ","January 15, 2026 10:03 AM (UTC)","December 18, 2025 3:42 PM"
"شنو الفرق الرياضية الموجودة بالكليه ","الفرق الرياضية الموجودة حاليا هي:
• كرة قدم Futsal 
• كرة القدم 
• كرة السلة 
• البادل
وجميعها تتكون من فرق حق الشباب وحق البنات! ",Student Life,,"Student Life ","January 15, 2026 10:04 AM (UTC)","December 18, 2025 3:47 PM"
شلون أسجل بفريق رياضي,"الإعلان عن فتح التسجيل يكون قبل البطولات أو بداية الموسم، والتسجيل يكون عن طريق قسم الحياة الطلابية ",Student Life,,"Student Life ","January 15, 2026 10:04 AM (UTC)","December 18, 2025 3:49 PM"
" أقدر أشارك بأكثر من فريق","يعتمد على مواعيد التدريبات والبطولات، ويتم التنسيق مع قسم الحياة الطلابية ",Student Life,,"Student Life ","January 15, 2026 10:04 AM (UTC)","December 18, 2025 3:49 PM"
"في شروط المشاركة بالفرق الرياضية؟ ","اكيد في شروط للمشاركة بالفرق الرياضية مثل الانتظام الأكاديمي والحضور والالتزام بالتدريبات ",Student Life,,"Student Life ","January 15, 2026 10:04 AM (UTC)","December 18, 2025 3:52 PM"
بكم الرسوم الدراسية بنسبة للدبلوم؟ شكثر رسوم الدبلوم؟ الوحدة بجم في الدبلوم؟,"بالنسبة لرسوم الدبلوم، تكون محسوبة على عدد الوحدات اللي بتنزلها بكل كورس. سعر الوحدة
  الواحدة هو ١٩٠ دينار بدون خصم، والسعر النهائي يعتمد على عدد الوحدات بالإضافة
  إلى الخصم اللي يحدده لك قسم التسجيل أول ما تسجل بالكلية، فالرسوم تختلف من
  طالب لثاني حسب خطته الدراسية والخصم المطبق عليه",Finance,,finance,"January 25, 2026 1:16 PM (UTC)","December 18, 2025 3:52 PM"
بكم الرسوم الدراسية بنسبة للبكالوريوس؟,بالنسبة لرسوم للبكالوريوس، تكون محسوبة على عدد الوحدات اللي بتنزلها بكل كورس. سعر الوحدة الواحدة هو ٢٤٠ دينار بدون خصم، والسعر النهائي يعتمد على عدد الوحدات بالإضافة إلى الخصم اللي يحدده لك قسم التسجيل أول ما تسجل بالكلية، فالرسوم تختلف من طالب لثاني حسب خطته الدراسية والخصم المطبق عليه,Finance,,finance,"January 25, 2026 1:16 PM (UTC)","January 15, 2026 1:23 PM"
اقدر ادفع اقساط ؟ و كم قسط راح يكون ؟,أي تقدر تدفع أقساط، وراح تكون على ٣ دفعات لمدة ٣ شهور,Finance,,finance,"January 25, 2026 1:16 PM (UTC)","January 15, 2026 2:19 PM"
الحين المقدم اللي دفعته يتخصم من سعر الكورس ولا خلاص يروح علي؟,المقدّم اللي دفعته ينخصم من رسوم الكورس، وما يروح عليك ,Finance,,finance,"January 25, 2026 1:17 PM (UTC)","January 15, 2026 2:19 PM"
كم سعر الكورس التمهيدي؟,سعر الكورس التمهيدي ٣،٢٥٠ بدون خصم,Finance,,finance,"January 25, 2026 1:19 PM (UTC)","January 15, 2026 2:19 PM"
اذا باخذ كورس بعدين بحول على حساب الحكومه كم بتكون تكلفه الكورس ؟,"تكلفة هالكورس تعتمد على عدد الوحدات اللي بتنزلها وكم خصمك ,ولازم تجتاز شروط البعثة ",Finance,,finance,"January 25, 2026 1:20 PM (UTC)","January 15, 2026 2:19 PM"
اذا بعيد الماده كم يكون سعر الماده ؟,راح تعيدها بسعرها كامل بدون أي خصم، وسعر المادة يعتمد على عدد وحداتها,Finance,,finance,"January 25, 2026 1:19 PM (UTC)","January 15, 2026 2:19 PM"
كم المديونية علي ؟ كم المتبقي ؟ كم دفعه هذا الشهر ؟ ,المبلغ اللي باقي عليك هو-------- دينار ، قسط هالشهر هو--------- دينار ,Finance,,finance,"January 25, 2026 1:22 PM (UTC)","January 15, 2026 2:19 PM"
"اقدر اسجل من غير ما ادفع مقدم ؟  اقدر ادفع
  بس ٢٠٠ و يتبطل معاي السيستم ؟",للأسف ما يصير تسجل من غير ما تدفع المقدم، ولا ينفع تقسطه. لازم تدفع المبلغ كامل عشان السيستم يفتح ويقدر يسجل,Finance,,finance,"January 25, 2026 1:23 PM (UTC)","January 25, 2026 4:21 PM"
كم المفروض ادفع علشان يتبطل علي السيستم ؟,تعتمد على حالتك، إذا عليك فلوس من الفصل اللي فات لازم تسددها عشان السيستم يفتح لك وتشوف درجاتك. أما إذا تبي تسجل مواد جديدة، لازم تدفع المقدم. للبكلريوس المقدم 500، وللدبلوم 400,Finance,,finance,"January 25, 2026 1:29 PM (UTC)","January 25, 2026 4:21 PM"
"شلون اتواصل مع قسم المحاسبة / المالية / دفع اقساط / رسوم دراسية ","للتواصل مع قسم المحاسبة يرجى التواصل على رقم الواتساب 65145596 او الايميل mailto:finance@ktech.edu.kw ",Finance,,,"April 15, 2026 9:43 AM (UTC)","April 15, 2026 12:41 PM"
ابي اسجل مواد بس ما اقدر يقول انه علي بلوك ليش ؟,عشان تقدر تسجل المواد لازم تدفع المقدم، وإلا السيستم يحطلك بلوك,Finance,,finance,"January 25, 2026 1:26 PM (UTC)","January 25, 2026 4:21 PM"
متى اقدر أقدم على تغيير التخصص ؟,خلال اخر اسبوعين من الفصل الدراسي الاول ز الثاني فقط .,Registration,,"Registration ","January 26, 2026 8:09 AM (UTC)","January 25, 2026 4:21 PM"
أبي أوقف قيدي هالفصل ؟,على الطالب  أو من ينوب عنه بمراجعة قسم التسجيل مكتب 106 لتقديم طلب وقف القيد .  اما اذا كان الطالب على حساب البعثة الداخلية يلزم موافقة مجلس الجامعات الخاصة .,Registration,,"Registration ","January 26, 2026 8:12 AM (UTC)","January 25, 2026 4:21 PM"
